key,en,lt,de,ru
single_Fight, Single Player,Vieno žaidėjo žaidimas, Einzelspieler, Один игрок
training, Training,Treniruotė, Training, Тренировка
towers, Towers,Bokštai, T?rme, Башни
available_soon, Available Soon!,Greitai bus prieinama!, Bald verf?gbar!, Скоро!
multiplayer, Multiplayer,Multipleeris, Multiplayer, Мультиплеер
to_battle, To Battle!,Į mūšį!, Zum Kampf!, В Бой!
character_class_locked, Character class locked!,Herojaus klasė užrakinta!, Charakter-Klasse gesperrt!, Класс персонажа закрыт!
energy_consumed, Energy Consumed,Sunaudojama energija, Verbrauchte Energie, Необходимо Энергии
sfx_volume, SFX Volume,SFX garsas, Effektlautst?rke, Громкость Эффектов
language, Language,Kalba, Sprache, Язык
music_volume, Music Volume,Muzikos garsas, Musiklautst?rke, Громкость Музыки
disable_ads, Disable Ads,Išjungti reklama, Werbung deaktivieren, Отключить рекламу
earn_more, Earn More,Gauti daugiau, Mehr verdienen, Получить ещё
return, Main Menu,Į pagrindinį menių, Haupt-Men?, Главное меню
unlocked_items, Unlocked Items:,Atrakinti daiktai:, Entsperrte Gegenst?nde:, Открытые Предметы:
free_spin_received, Free Spin Received!,Gautas nemokamas sukimas!, Gratis-Spin erhalten!, Получен бесплатный спин!
spin_for_reward, Spin for Reward,Sukti dovanas!, Spin f?r den Preis!, Получить награду!
stop_reward_spin, Stop,Stabdyti, Stopp, Стоп
new_item_unlocked, New Item Unlocked:,Naujas daiktas atrakintas:, Neuer Gegenstand entsperrt:, Открыт Новый Предмет:
new_item_unlocked_response, Awesome!,Nuostabu!, Toll!, Чудесно!
match_result_victory, Victory!,Pergalė!, Sieg!, Победа!
match_result_defeat, Defeat!,Pralaimejimas, Besiegt!, Поражение!
tutorial_header_welcome, Welcome!,Sveiki!, Willkommen!, Добро\nпожаловать!
tutorial_text_welcome, This quick tutorial will teach you everything you need to know!,Šis trumpas tutorialas padės suprasti pagrindus!," In diesem Tutorial lernst du alles,  was du wissen brauchst!", Этот короткий туториал поможет понять азы!
tutorial_header_winning, Winning,Pergalė, Gewinnen, Победа
tutorial_text_winning," The player who removes enemy <color=#E7552C>health points</color> first,  or achieves <color=#00FF16>specific class conditions</color> ,  <color=#00FF16>wins</color>!","Žaidėjas, kuris pirmasis pašalina <color=#E7552C>visus priešo sveikatos taškus</color> arba įvykdo <color=#00FF16>specialią klasės misiją</color> – <color=#00FF16>laimi</color>!","Der Spieler, der zuerst die Lebenspunkte des Gegners zerst?rt, gewinnt!,","Игрок, который первым уберёт <color=#E7552C>все очки здоровья</color> противника, или выполнит <color=#00FF16>специальное классовое задание</color> - <color=#00FF16>побеждает</color>!"
tutorial_header_turns, Turns,Ėjimai, Runden, Ходы
tutorial_text_turns_overall," Game runs in turns:\n* players <color=#00FF16>select their actions</color>\n* <color=#E7552C>actions clash</color>\n* if no one won,  <color=#FFB745>game continues</color>!",Žaidimas susideda iš kelių etapų:\n• Žaidėjai <color=#00FF16>pasirenka savo veiksmus</color>\n• <color=#E7552C>Veiksmai susidūria</color>\n• Ėjimai <color=# FFB745>kartojami iki vieno iš žaidėjų pergalės</color>," Das Spiel l?uft in Runden ab:\n* Die Spieler w?hlen ihre Aktionen\n* Aktionen treffen aufeinander\n* Die Runden wiederholen sich,  bis ein Spieler gewinnt", Игра состоит из пары фаз:\n* Игроки <color=#00FF16>выбирают свои действия</color>\n* <color=#E7552C>Действия противопостовляются</color>\n* Ходы <color=#FFB745>повторяются до победы</color> одного из игроков
tutorial_header_turns_actionSelect, Turns - Action Select,Ėjimai – Veiksmo pasirinkimas,Runden - Aktionsauswahl, Ходы - Выбор действий
tutorial_header_turns_actionClash, Turns - Actions Clash,Ėjimai – Veiksmų susidūrimas, Runden - Aktionen treffen aufeinander, Ходы - Противопоставление действий
tutorial_text_turns_actionClash1, After countdown goes to <color=#00FF16>Meow!</color> actions clash :,"Kai atgalinis skaičiavimas pasiekia <color=#00FF16>Miau!</color>, veiksmai susidūria :"," Nach Countdown bis ""Miau!"", treffen Aktionen aufeinander", Когда обратный отчёт доходит до <color=#00FF16>Мяу!</color> действия противопоставляются :
tutorial_text_turns_actionClash2,<color=#E7552C>• aggressive</color> actions deal damage\n<color=#FFB745>• defensive</color> actions block damage\n<color=#5CC5EF>• special</color> actions bear various functions,<color=#E7552C>• agresyvūs</color> veiksmai daro žalą\n<color=#FFB745>• gynybiniai</color> veiksmai blokuoja žalą\n<color=#5CC5EF>• specialūs</color> veiksmai yra unikalūs ir atlieka įvairias funkcijas, * aggressive Aktionen machen Schaden\n* defensive Aktionen blockieren Schaden\n* spezielle Aktionen tragen verschiedene Funktionen,<color=#E7552C>• аггрессивные</color> действия наносят урон\n<color=#FFB745>• защитные</color> действия блокируют урон\n<color=#5CC5EF>• особые</color> действия уникальны и выполняют разные функции
tutorial_text_turns_actionSelect, Players have 3 seconds to select their actions.\n\nThey may want to skip action selection to <color=#00FF16>save their energy</color> or to <color=#00FF16>outsmart</color> their enemy!,"Žaidėjai turi 3 sekundes veiksmui pasirinkti .\n\nGalima praleisti ėjimo pasirinkimą, pvz., <color=#00FF16>sutaupyti energiją</color> arba <color=#00FF16>apgauti priešininką</color> !","Die Spieler haben 3 Sekunden Zeit f?r die Aktionsauswahl. Sie k?nnen die Auswahl ?berspringen, um <Energie zu sparen> oder den Gegner <zu ?berlisten>!"," У игроков имеются 3 секунды для выбора действия.\n\nВозможен пропуск выбора хода - например,  <color=#00FF16>сохранить энергию</color> или <color=#00FF16>обмануть противника</color>!"
tutorial_header_actions, Actions,Veiksmai, Aktionen, Действия
tutorial_text_actions, Players select actions by clicking buttons at the bottom.\nAvailable actions <color=#00FF16>depend on the chosen class</color>,Žaidėjai pasirenka veiksmus spustelėdami mygtukus apačioje.\nGalimi veiksmai <color=#00FF16>priklauso nuo pasirinktos herojaus klasės</color>, Die Spieler w?hlen Aktionen durch Klicken auf die Kn?pfe am unteren Rand.\nVerf?gbare Aktionen sind von der gew?hlten Klasse abh?ngig, Игроки выбирают действия нажимая на кнопки внизу.\nДоступные действия <color=#00FF16>зависят от выбранного класса</color> персонажа
tutorial_header_actions2, Actions,Veiksmai, Aktionen, Действия
tutorial_text_actions2," Some actions might be unavailable at first - for example, the gunslinger has to <color=#5CC5EF>reload</color> his gun before he can shoot","Ne visi veiksmai pasiekiami iš karto – pavyzdžiui, šaulys turi <color=#5CC5EF> Pertaisyti ginklą</color> prieš šaudydamas"," Einige Aktionen k?nnen zun?chst nicht verf?gbar sein - zum Beispiel muss der Sch?tze seine Waffe <nachladen>, bevor er schie?en kann"," Не все действия доступны сразу - например,  стрелку необходимо <color=#5CC5EF>перезарядить</color> оружие перед выстрелом"
tutorial_header_energy, Energy,Energija, Energie, Энергия
tutorial_text_energy, Most actions require <color=#00FF16>energy</color> - you can restore it by <color=#5CC5EF>resting</color>.\nDon't forget that your enemy has to <color=#5CC5EF>rest</color> as well!,"Dauguma veiksmų eikvoja <color=#00FF16>energiją</color> – galite ją atkurti <color=#5CC5EF>pailsėję</color>.\nNepamirškite, kad jūsų priešininkas taip pat turi <color=#5CC5EF>pailsėti </color> !"," Die meisten Aktionen ben?tigen Energie - du kannst sie durch Ruhen auff?llen.\nVergiss nicht,  dass dein Feind auch ruhen muss!"," Большинство действий расходуют  <color=#00FF16>энергию</color> - её можно востановить <color=#5CC5EF>отдохнув</color>.\nНе забывай,  что твоему противнику также необходимо <color=#5CC5EF>отдыхать</color>!"
tutorial_header_pause, Pause,Pauzė, Pause, Пауза
tutorial_text_pause, Even the fiercest warriors need to take a break. Use the <color=#00FF16>pause button</color> over here!,Net ir aršiausiams kovotojams reikia poilsio. Naudokite <color=#00FF16>pauzės mygtuką</color>!, Auch die h?rtesten K?mpfer brauchen mal eine Pause. Benutze die Pausentaste!, Даже самые суровые воины нуждаются в отдыхе. Воспользуйся <color=#00FF16>кнопкой паузы</color>!
tutorial_text_pause_2, Here you can also change <color=#00FF16>settings</color> or <color=#00FF16>analyse your/enemy's actions</color>!,Čia taip pat galite pakeisti <color=#00FF16>nustatymus</color> ir <color=#00FF16>analizuoti priešo ar savo herojaus veiksmus</color>!, Hier kannst du auch Einstellungen ?ndern oder deine/des Gegners Aktionen analysieren!, Тут также можно изменить <color=#00FF16>настройки</color> и <color=#00FF16>проанализировать действия</color> врага или своего героя!
tutorial_header_practice_time, Practice Time,Praktikos laikas, Zeit zum ?ben, Время практики
tutorial_text_practice_time, Try to defeat this enemy. Good luck and <color=#00FF16>make sure to have fun</color>!,Pabandykite nugalėti šį priešą. <color=#00FF16>Laimingo žaidimo</color>!," Versuche,  diesen Feind zu besiegen. Viel Gl?ck und Spa? dabei!", Попробуй одолеть этого врага. <color=#00FF16>Счастливой игры</color>!
tutorial_next_text, Next!,Toliau!, Weiter!, Далее!
meow, meow!,miau!, miau!, мяу!
unlocks_at_level, Unlocks at level,Reikalingas lygis, Erforderlicher Level, Необходим уровень
,,,,
warrior, Warrior,Kovotojas, Krieger, Воин
ranger, Gunslinger,Ginklininkas, Sch?tze, Стрелок
